temperature,humidity,ammonia
26.51,46.74,32.716
26.34,47.26,32.753
26.4,47.16,32.734
26.42,47.18,32.734
26.27,47.54,32.753
26.31,47.57,32.734
26.27,47.7,32.753
26.27,47.76,32.734
26.25,47.9,32.716
26.06,48.34,32.753
26.08,48.39,32.753
26.15,48.18,32.753
26.15,48.25,32.753
26.1,48.38,32.772
26.1,48.4,32.772
26.12,48.42,32.753
26.1,48.43,32.772
26.08,48.58,32.753
26.1,48.59,32.772
26.1,48.59,32.753
26.12,48.58,32.753
26.12,48.63,32.753
26.1,48.83,32.753
26.06,48.91,32.753
26,49.19,32.772
25.98,49.34,32.753
26,49.31,32.753
26.02,49.19,32.753
26.02,49.18,32.753
26.02,49.32,32.753
26,49.31,32.753
25.93,49.59,32.753
25.83,49.97,32.772
25.83,49.97,32.772
25.87,49.9,32.753
25.89,49.81,32.753
25.91,49.89,32.772
25.78,50.31,32.772
25.74,50.43,32.772
25.74,50.46,32.753
25.74,50.42,32.772
25.61,50.75,32.753
25.65,50.65,32.772
25.61,50.78,32.772
25.63,50.85,32.753
25.65,51.16,32.772
25.7,50.69,32.772
25.7,50.79,32.753
25.68,50.84,32.772
25.68,50.95,32.772
25.68,50.95,32.753
25.7,50.89,32.753
25.72,50.92,32.772
25.72,50.84,32.753
25.68,50.95,32.772
25.7,50.92,32.753
25.7,51.02,32.772
25.7,50.95,32.772
25.72,50.89,32.772
25.74,50.84,32.772
25.76,50.75,32.772
25.78,50.7,32.753
25.78,50.78,32.772
25.78,50.72,32.753
25.8,50.7,32.753
25.8,50.6,32.772
25.8,50.71,32.753
25.78,50.79,32.753
25.78,50.78,32.753
25.78,50.84,32.753
25.76,50.82,32.772
25.72,50.96,32.753
25.72,50.97,32.753
25.74,50.94,32.753
25.72,50.95,32.753
25.7,51.1,32.753
25.7,51.11,32.772
25.74,51.12,32.734
25.76,50.91,32.772
25.76,51.04,32.753
25.76,51.07,32.753
25.76,51.1,32.753
25.76,51.16,32.753
25.78,51.11,32.753
25.78,51.12,32.753
25.8,51.25,32.753
25.83,51.22,32.753
25.85,51.05,32.772
25.85,50.87,32.734
25.83,51.15,32.753
25.83,51.07,32.772
25.83,51.1,32.753
25.83,50.97,32.753
25.87,51.14,32.753
25.83,51.06,32.753
25.85,50.98,32.753
25.85,50.84,32.753
25.87,50.76,32.753
25.87,50.87,32.753
25.87,50.84,32.753
25.89,50.77,32.753
25.83,50.91,32.753
25.85,50.86,32.753
25.85,50.76,32.734
25.85,50.75,32.753
25.87,50.98,32.753
25.87,50.87,32.753
25.87,51.03,32.753
25.87,50.93,32.772
25.89,50.99,32.753
25.85,51.04,32.753
25.87,50.98,32.753
25.89,50.88,32.753
25.87,50.69,32.753
25.89,50.86,32.753
25.89,50.74,32.753
25.89,50.86,32.772
25.89,50.64,32.753
25.89,50.66,32.753
25.87,50.63,32.734
25.87,50.85,32.716
25.85,50.67,32.772
25.83,50.96,32.734
25.8,51.01,32.772
25.83,51.1,32.753
25.83,51.04,32.753
25.85,51.14,32.753
25.85,51.06,32.753
25.85,51.05,32.753
25.89,51.1,32.753
25.89,50.77,32.753
25.89,50.85,32.772
25.87,51.12,32.753
25.87,51.19,32.753
25.89,51.21,32.734
25.87,51.38,32.734
25.87,51.37,32.753
25.89,51.3,32.753
25.89,51.48,32.753
25.91,51.17,32.753
25.89,51.22,32.753
25.87,51.09,32.753
25.91,51.33,32.753
25.89,51.19,32.734
25.89,51.08,32.753
25.91,51.1,32.753
25.93,51.06,32.753
25.89,50.99,32.753
25.91,51,32.753
25.89,50.96,32.734
25.91,50.92,32.772
25.91,50.87,32.753
25.91,50.9,32.753
25.93,50.93,32.753
25.89,50.96,32.753
25.93,50.99,32.753
25.89,50.94,32.753
25.91,50.78,32.753
25.91,50.74,32.753
25.96,50.68,32.753
25.91,50.77,32.753
25.96,50.8,32.753
25.93,50.87,32.753
25.98,50.86,32.753
25.98,51.03,32.753
25.98,51.05,32.753
25.98,51.06,32.753
25.98,51.12,32.753
26.02,50.91,32.753
26.02,50.84,32.753
