reg_date,temperature
"2023-06-01 15:37:58",27.32
"2023-06-01 15:38:04",27.32
"2023-06-01 15:38:07",27.32
"2023-06-01 15:38:13",27.32
"2023-06-01 15:38:19",27.32
"2023-06-01 15:38:22",27.32
"2023-06-01 15:38:28",27.32
"2023-06-01 15:38:34",27.32
"2023-06-01 15:38:37",27.32
"2023-06-01 15:38:43",27.32
"2023-06-01 15:38:49",27.32
"2023-06-01 15:38:52",27.32
"2023-06-01 15:38:58",27.32
"2023-06-01 15:39:04",27.32
"2023-06-01 15:39:07",27.32
"2023-06-01 15:39:13",27.32
"2023-06-01 15:39:19",27.32
"2023-06-01 15:39:22",27.32
"2023-06-01 15:39:28",27.32
"2023-06-01 15:39:34",27.32
"2023-06-01 15:39:37",27.32
"2023-06-01 15:39:43",27.32
"2023-06-01 15:39:49",27.32
"2023-06-01 15:39:52",27.32
"2023-06-01 15:39:58",27.32
"2023-06-01 15:40:04",27.32
"2023-06-01 15:40:07",27.32
"2023-06-01 15:40:13",27.32
"2023-06-01 15:40:19",27.32
"2023-06-01 15:40:22",27.32
"2023-06-01 15:40:28",27.32
"2023-06-01 15:40:34",27.32
"2023-06-01 15:40:37",27.32
"2023-06-01 15:40:43",27.32
"2023-06-01 15:40:49",27.32
"2023-06-01 15:40:52",27.32
"2023-06-01 15:40:58",27.32
"2023-06-01 15:41:04",27.32
"2023-06-01 15:41:07",27.32
"2023-06-01 15:41:13",27.32
"2023-06-01 15:41:19",27.32
"2023-06-01 15:41:22",27.32
"2023-06-01 15:41:28",27.32
"2023-06-01 15:41:32",27.32
"2023-06-01 15:41:38",27.32
"2023-06-01 15:41:44",27.32
"2023-06-01 15:41:50",27.32
"2023-06-01 15:41:53",27.32
"2023-06-01 15:41:59",27.32
"2023-06-01 15:42:02",27.32
"2023-06-01 15:42:08",27.32
"2023-06-01 15:42:14",27.32
"2023-06-01 15:42:17",27.32
"2023-06-01 15:42:23",27.32
"2023-06-01 15:42:29",27.32
"2023-06-01 15:42:32",27.32
"2023-06-01 15:42:38",27.32
"2023-06-01 15:42:44",27.32
"2023-06-01 15:42:47",27.32
"2023-06-01 15:42:53",27.32
"2023-06-01 15:42:59",27.32
"2023-06-01 15:43:02",27.32
"2023-06-01 15:43:08",27.32
"2023-06-01 15:43:14",27.32
"2023-06-01 15:43:17",27.32
"2023-06-01 15:43:23",27.32
"2023-06-01 15:43:29",27.32
"2023-06-01 15:43:32",27.32
"2023-06-01 15:43:38",27.32
"2023-06-01 15:43:44",27.32
"2023-06-01 15:43:47",27.32
"2023-06-01 15:43:53",27.32
"2023-06-01 15:43:59",27.32
"2023-06-01 15:44:02",27.32
"2023-06-01 15:44:08",27.32
"2023-06-01 15:44:14",27.32
"2023-06-01 15:44:17",27.32
"2023-06-01 15:44:23",27.32
"2023-06-01 15:44:29",27.32
"2023-06-01 15:44:32",27.32
"2023-06-01 15:44:38",27.32
"2023-06-01 15:44:44",27.32
"2023-06-01 15:44:47",27.32
"2023-06-01 15:44:53",27.32
"2023-06-01 15:44:59",27.32
"2023-06-01 15:45:02",27.32
"2023-06-01 15:45:08",27.32
"2023-06-01 15:45:14",27.32
"2023-06-01 15:45:17",27.32
"2023-06-01 15:45:23",27.32
"2023-06-01 15:45:29",27.32
"2023-06-01 15:45:32",27.32
"2023-06-01 15:45:38",27.32
"2023-06-01 15:45:44",27.32
"2023-06-01 15:45:47",27.32
"2023-06-01 15:45:53",27.32
"2023-06-01 15:45:59",27.32
"2023-06-01 15:46:02",27.32
"2023-06-01 15:46:08",27.32
"2023-06-01 15:46:14",27.32
"2023-06-01 15:46:17",27.32
"2023-06-01 15:46:23",27.32
"2023-06-01 15:46:29",27.32
"2023-06-01 15:46:32",27.32
"2023-06-01 15:46:38",27.32
"2023-06-01 15:46:44",27.32
"2023-06-01 15:46:47",27.32
"2023-06-01 15:46:53",27.32
"2023-06-01 15:46:59",27.32
"2023-06-01 15:47:02",27.32
"2023-06-01 15:47:08",27.32
"2023-06-01 15:47:14",27.32
"2023-06-01 15:47:17",27.32
"2023-06-01 15:47:23",27.32
"2023-06-01 15:47:29",27.32
"2023-06-01 15:47:32",27.32
"2023-06-01 15:47:38",27.32
"2023-06-01 15:47:44",27.32
"2023-06-01 15:47:47",27.32
"2023-06-01 15:47:54",27.32
"2023-06-01 15:48:00",27.32
"2023-06-01 15:48:03",27.32
